name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia	housenumbers
NU		way	30113865	boundary	administrative	-65.7905980	59.2028618	8	0.55				NU	Canada	ca	NU, Canada	-65.8046799	59.1970291	-65.7775117	59.2079734			
NU		way	30114815	boundary	administrative	-65.8358716	59.1639060	8	0.55				NU	Canada	ca	NU, Canada	-65.8456421	59.1579018	-65.8239289	59.1709976			
NU		way	30114387	boundary	administrative	-65.7821150	59.1675872	8	0.55				NU	Canada	ca	NU, Canada	-65.8189468	59.1518898	-65.7509233	59.1849823			
NU		way	30114710	boundary	administrative	-65.7962018	59.1851711	8	0.55				NU	Canada	ca	NU, Canada	-65.8047104	59.1811751	-65.7812576	59.1910743			
NU		way	30114804	boundary	administrative	-65.8677489	59.0922641	8	0.55				NU	Canada	ca	NU, Canada	-65.8731767	59.0814629	-65.8567352	59.0974120			
NU		way	30114850	boundary	administrative	-65.8810269	59.0702991	8	0.55				NU	Canada	ca	NU, Canada	-65.8855438	59.0623932	-65.8781663	59.0754166			
NU		way	30114618	boundary	administrative	-65.8846631	59.0443439	8	0.55				NU	Canada	ca	NU, Canada	-65.9021149	59.0284575	-65.8660355	59.0609321			
NU		way	30115273	boundary	administrative	-79.3482652	54.2410373	8	0.55				NU	Canada	ca	NU, Canada	-79.3587723	54.2374801	-79.3370820	54.2439384			
NU		way	30115323	boundary	administrative	-79.1857103	53.8115806	8	0.55				NU	Canada	ca	NU, Canada	-79.1979065	53.8062362	-79.1742935	53.8180161			
NU		way	30115253	boundary	administrative	-79.1483370	53.4523372	8	0.55				NU	Canada	ca	NU, Canada	-79.1598206	53.4482001	-79.1403885	53.4545592			
NU		way	30115207	boundary	administrative	-79.1205389	53.5961379	8	0.55				NU	Canada	ca	NU, Canada	-79.1459961	53.5866432	-79.1006546	53.6056022			
NU		way	30114982	boundary	administrative	-79.1851162	55.7212086	8	0.55				NU	Canada	ca	NU, Canada	-79.2413865	55.6739464	-79.1301423	55.7666206			
NU		way	30114221	boundary	administrative	-67.5791724	58.4100475	8	0.55				NU	Canada	ca	NU, Canada	-67.5912553	58.4019928	-67.5654907	58.4184570			
Abu Dhabi	Ø£Ø¨Ùˆ Ø¸Ø¨ÙŠ,ÐÐ±Ñƒ-Ð”Ð°Ð±Ð¸	relation	3766481	boundary	administrative	53.6439097	23.9976443	8	0.55				Abu Dhabi	United Arab Emirates	ae	Abu Dhabi, United Arab Emirates	51.4160713	22.6316213	56.0173981	25.4528948	Q187712		
